书名,作者,评分,状态,简评
存在主义咖啡馆,S. Bakewell,7.0,已读,不错的入门书
Creation Stories,A. McGee,4.0,已读,如果你不是和我一样是一位正在绝望地从全世界找资料给盯鞋乐队拉磨的同人女的话，这本书真的没什么看的必要。讲McGee嗑昏过去的部份比讲怎么运营乐队的部份多
蜘蛛女之吻,M. Puig,10.0,已读,结构精巧，内容动人的小说，两位主角都是那么的惹人喜爱…
倚天屠龙记,金庸,7.0,已读,感觉也没什么特别打动人的地方，那种文笔挺好的龙傲天小说即视感，四个妹妹已成梗
霍乱时期的爱情,G. Marquez,9.0,已读,重读依旧很喜欢
我们最幸福,B. Demick,9.0,已读,除了朝鲜的部分，这些脱北者开启新生活的决心也让人印象深刻。女性真是坚强啊
存在主义是一种人道主义,J. P. Sartre,10.0,已读,醍醐灌顶
德米安：彷徨少年时,H. Hesse,7.0,已读,虽然有很多名言警句，但依然不是很能理解这种精神状态
1968 撞击世界的年代,M. Kurlansky,8.0,已读,非常详尽的1968年世界学运史
九故事,J.D. Salinger,10.0,已读,充满禅意的杰作，让人后悔自己没在青春期读到它们
论中国,H. Kissinger,8.0,已读,中美关系/20世纪新中国史入门
在路上,J. Kerouac,10.0,已读,非常美丽而浪漫的公路小说，为了它我可以再次爱上美国
那不勒斯四部曲,E. Ferrante,10.0,已读,新颖的视角，细腻的文笔
仿生人会梦见电子羊吗,P. Dick,9.0,已读,相当不错的小说
抬高房梁，木匠们/西摩小传,J.D. Salinger,6.0,已读,抬高房梁还不错，西摩小传无法欣赏
Warhol,K. Honnef,8.0,已读,不错的书。着重于对Warhol艺术概念的介绍，挺有启发性的，图很好看，内容更多点就好了。虽然本来买了是想看VU的八卦——八卦是一点都没有
UNCUT ultimate genre guide shoegaze,UNCUT,8.0,已读,粉丝狂喜的一本杂志。对想了解这个流派的人也很有帮助
潘多拉文件,R. Ferré,,正在读,
二手时间,S. A. Alexievich,,正在读,
乌鸦,A. Poe,,正在读,
Barbed Wire Kisses,Z. Howe,,正在读,
Sonic Life,T. Moore,,正在读,
南方高速,J. Cortázar,,正在读,
性权利：21世纪的女性主义,A. Srinivasan,,正在读,
Johnathan Livingston Seagull,R. Bach,,正在读,
单向度的人,H. Marcuse,,正在读,
Not in my Neighbourhood,A. Pietila,,正在读,
