日期,作品名,作者,评分,状态,简评
1/19/24,燃冬,陈哲艺,4,已看,拍摄手法出了大问题
1/19/24,咒,柯孟融,7,已看,邪教片，拍得不错，作为无神论者没啥后劲
1/19/24,1991: The Year Punk Broke,D. Markey,6,已看,音乐录影带。现场很棒，叙事几乎没有。说好听点就是很忠实的客观记录吧
2/17/24,Withnail & I,B. Robinson,7.5,已看,疯子天才Withnail和没那么天才却也没那么疯的Marwood，需要有一定英国文化和时代背景知识储备才能有感触的电影…心情和电影里的阴雨一般闷闷的
3/15/24,DIG!,O. Timoner,8,已看,在乐队纪录片中算质量很高了，我觉得可以与Supersonic媲美。讲的是90S Mozart vs. Salieri (Brian Jonestown Massacre vs. The Dandy Warhols) 的故事，虽然这样的叙事是以消耗客观性为代价的，但作为电影很棒
4/1/24,All Watched Over by Machines of Loving Grace,A. Curtis,8,已看,相当不错的纪录片，观后感得单独摘出来写
5/26/24,This Is Spinal Tap,R. Reiner,7.5,已看,狠狠地拿摇滚文化开涮了，感想是很爽
5/26/24,Beautiful Noise,E. Green,7,已看,著名的盯鞋纪录片，信息量蛮足的，和这个genre一样是性冷淡风（笑
5/29/24,Upside Down: The Creation Records Story,D. O'Connor,8,已看,比McGee自己写的那书好看多了
10/20/24,Blade Runner 2049,D. Villeneuve,7,已看,剧情有点落入俗套，每个人一张嘴你就知道他们想要说什么
10/20/24,The Shape Of Water,G. del Toro,8,已看,Underrepresented Baltimore people beat the shit out of a Texas racist。虽然剧情很老套但人外太萌音乐太好听画面太美我原谅了一切，喜欢chill到爆的巴尔的摩vibe
12/22/24,蓦然回首,藤本树/押山清高,8,已看,蛮好的虽然感觉节奏把控上和原作有挺大区别……这个分主要还是给原作
12/22/24,狂飙,徐纪周,9,已看,非常好看的警匪剧
12/24/24,Blade Runner,R. Scott,10,已看,重温了一遍还是觉得非常完美
12/26/24,Lost in Translation ,S. Coppola,10,已看,很好看的片子…总之就是很好看的片子，讲述成年人生活的困惑
12/26/24,My Own Private Idaho,Gus Van Sant,10,已看,非常喜欢的氛围和节奏，让人看了觉得悲伤且无力，但又不会愤怒，只是淡淡的……
6/5/25,Nosferatu,R. Eggers,7,已看,吸血鬼色情片，吸血鬼草了男女主两个人
,电锯人剧场版：蕾塞篇,藤本树/吉原达矢,7,已看,打斗画面非常可以，但完全没给context，不看原著估计一头雾水
,死亡笔记,大场鸫/小畑健,,在看,
,The Aviator,M. Scorsese,,在看,
